Gene	Cancer	Corr	Pvalue	FDR	Significance	Pathway	Genes	GeneOrder	GeneOrder2
NF1	CHOL	0.17944664	0.23737091	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	CHOL	0.077338603	0.612521959	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	CHOL	-0.407509881	0.005797586	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	CHOL	-0.107641634	0.48029027	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	CRC	-0.297837622	6.64E-10	8.85E-07	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	CRC	0.338441613	1.68E-12	2.24E-09	2	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	CRC	-0.323351771	1.73E-11	2.31E-08	2	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	CRC	0.061392697	0.210807614	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	CRC	-0.232274302	1.63E-06	0.002172042	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	CRC	-0.593880846	4.19E-41	5.59E-38	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	CRC	0.312150979	8.97E-11	1.20E-07	2	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	DLBC	-0.202236214	0.167613018	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	DLBC	0.008250109	0.955735708	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	DLBC	0.286691272	0.048564441	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	DLBC	-0.103777681	0.48151747	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	DLBC	0.102040816	0.488917739	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	DLBC	-0.035714286	0.809122321	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	DLBC	0.195505862	0.182437353	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	ESCA	-0.024329296	0.736764313	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	ESCA	0.123829857	0.086210883	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	ESCA	0.024509575	0.734886414	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	ESCA	0.274571337	0.000118178	0.157530733	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	ESCA	0.190524678	0.008035011	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	ESCA	-0.367241333	1.84E-07	0.000245852	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	ESCA	0.269842356	0.000155835	0.207728585	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	GBM	0.29763376	7.16E-05	0.09548029	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	GBM	0.040047837	0.599475639	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	GBM	-0.009600501	0.899853974	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	GBM	0.050537885	0.507435703	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	GBM	0.303210228	5.17E-05	0.06885188	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	GBM	0.243393035	0.001247509	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	GBM	-0.049305504	0.517853994	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	HNSC	-0.104444393	0.013435357	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	HNSC	0.062406745	0.140191117	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	HNSC	0.00228735	0.956929023	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	HNSC	0.051803258	0.220888994	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	HNSC	0.130501238	0.00197101	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	HNSC	-0.360740969	0	0	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	HNSC	-0.053034927	0.210095053	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	KICH	0.045846101	0.669106243	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	KICH	0.008290773	0.93847111	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	KICH	0.149114743	0.162849195	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	KICH	0.255192373	0.0160143	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	KICH	-0.346407899	0.000943301	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	KICH	-0.438474634	2.10E-05	0.028021484	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	KICH	0.380217909	0.000263202	0.350848807	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	KIRC	0.276745793	1.08E-11	1.44E-08	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	KIRC	0.057649196	0.162997288	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	KIRC	-0.017249153	0.676638822	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	KIRC	0.055208276	0.181574357	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	KIRC	0.189794046	3.64E-06	0.004857908	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	KIRC	-0.269540623	3.77E-11	5.03E-08	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	KIRC	-0.058172657	0.159206566	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	KIRP	0.138638001	0.013398019	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	KIRP	0.050099832	0.373026645	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	KIRP	0.087174054	0.120773494	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	KIRP	0.223509796	6.04E-05	0.08057516	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	KIRP	0.097442886	0.082753239	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	KIRP	-0.295560402	7.86E-08	0.000104786	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	KIRP	0.085468677	0.128235477	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	LAML	0.209972173	0.005559167	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	LAML	-0.147556448	0.052770947	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	LAML	-0.006552141	0.93175966	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	LAML	0.383822909	2.34E-07	0.000311356	2	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	LAML	0.134470707	0.077770071	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	LAML	0.210565528	0.00542376	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	LAML	0.569765124	0	0	2	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	LGG	0.327879512	1.94E-06	0.002584794	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	LGG	0.044142737	0.530402603	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	LGG	0.030006149	0.669828572	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	LGG	0.216782693	0.001882627	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	LGG	-0.350402499	3.34E-07	0.000445005	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	LGG	0.274995583	7.32E-05	0.097596378	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	LGG	-0.322414853	2.91E-06	0.003883601	2	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	LIHC	-0.19639878	5.13E-05	0.06839201	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	LIHC	0.361244078	2.01E-14	2.68E-11	2	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	LIHC	-0.109519204	0.024625418	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	LIHC	-0.006669004	0.891435608	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	LIHC	0.331679417	3.84E-12	5.12E-09	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	LIHC	-0.488735503	1.16E-26	1.55E-23	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	LIHC	-0.134706031	0.005666343	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	LUAD	-0.053925123	0.198931168	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	LUAD	0.193884789	3.18E-06	0.004235925	2	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	LUAD	0.299106809	3.18E-13	4.24E-10	2	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	LUAD	0.239063569	7.74E-09	1.03E-05	2	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	LUAD	0.326875182	1.24E-15	1.65E-12	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	LUAD	-0.332832496	4.43E-16	5.91E-13	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	LUAD	0.197868831	1.97E-06	0.002623945	2	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	LUSC	0.111589335	0.009685175	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	LUSC	0.298500488	2.09E-12	2.79E-09	2	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	LUSC	0.284996411	1.71E-11	2.28E-08	2	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	LUSC	0.254614913	2.46E-09	3.28E-06	2	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	LUSC	0.124443492	0.003873594	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	LUSC	-0.419270674	0	0	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	LUSC	0.180828306	2.49E-05	0.033234022	2	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	OV	-0.182086052	0.001401314	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	OV	-0.075634739	0.186880357	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	OV	0.097427747	0.088870074	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	OV	-0.018475788	0.747392319	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	OV	0.27532	1.11E-06	0.001476794	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	OV	-0.315833174	1.95E-08	2.60E-05	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	OV	0.202211759	0.000381081	0.507981515	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	PAAD	0.061640212	0.436890445	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	PAAD	0.109282264	0.16743084	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	PAAD	0.20205314	0.010264567	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	PAAD	-0.024928111	0.753359201	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	PAAD	0.090513573	0.253208751	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	PAAD	-0.46223545	1.01E-09	1.35E-06	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	PAAD	-0.086188751	0.276667015	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	PCPG	-0.342742984	1.95E-06	0.002600334	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	PCPG	0.002507355	0.972888341	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	PCPG	0.214984451	0.003268764	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	PCPG	0.32153164	8.56E-06	0.011412336	2	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	PCPG	-0.197021759	0.00711154	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	PCPG	-0.377275292	1.39E-07	0.000185541	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	PCPG	0.400976274	1.90E-08	2.53E-05	2	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	PRAD	-0.21940453	2.47E-07	0.000329117	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	PRAD	0.034542218	0.420823654	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	PRAD	0.099517266	0.020175429	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	PRAD	-0.102177342	0.01706011	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	PRAD	0.177648734	3.12E-05	0.041621619	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	PRAD	-0.410006716	0	0	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	PRAD	-0.155158925	0.000276961	0.369189065	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	SARC	0.223159878	0.000296521	0.395262584	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	SARC	-0.041130786	0.508813583	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	SARC	-0.004995067	0.936073498	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	SARC	0.112193418	0.070909908	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	SARC	0.069145083	0.266423305	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	SARC	-0.191806888	0.00192239	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	SARC	0.030425803	0.625083106	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	SKCM	-0.276936325	1.05E-09	1.40E-06	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	SKCM	-0.043771968	0.342027864	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	SKCM	0.196456999	1.68E-05	0.022424732	2	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	SKCM	0.074442667	0.105865994	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	SKCM	0.379825543	1.11E-17	1.48E-14	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	SKCM	-0.326748813	4.22E-13	5.62E-10	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	SKCM	0.254487101	2.23E-08	2.98E-05	2	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	STAD	-0.172250475	0.000308089	0.410682642	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	STAD	0.137585432	0.004024811	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	STAD	0.097549084	0.041760899	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	STAD	0.10441964	0.029293543	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	STAD	0.37603539	4.31E-16	5.74E-13	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	STAD	-0.523909315	0	0	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	STAD	0.113625515	0.01766443	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	TGCT	-0.366311108	3.26E-06	0.00434418	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	TGCT	0.018491186	0.819168576	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	TGCT	0.37629145	1.68E-06	0.002241735	2	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	TGCT	-0.196809801	0.014108707	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	TGCT	0.162456898	0.043516516	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	TGCT	-0.581531372	0	0	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	TGCT	0.293612839	0.000222119	0.296084788	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	THCA	0.185658382	8.91E-06	0.011883012	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	THCA	-0.109532903	0.009046986	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	THCA	0.169551796	5.08E-05	0.067675648	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	THCA	0.115021172	0.00610816	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	THCA	0.251223346	1.49E-09	1.99E-06	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	THCA	-0.078884444	0.060511183	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	THCA	0.147584368	0.00042784	0.570311198	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	THYM	-0.561048308	0	0	2	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	THYM	-0.043430562	0.634347503	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	THYM	0.308263471	0.000583914	0.778357128	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	THYM	-0.425089468	1.35E-06	0.001803005	2	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	THYM	0.63584814	0	0	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	THYM	-0.422835824	1.55E-06	0.00207162	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	THYM	-0.192679953	0.033624693	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	UCEC	-0.183324715	0.009815554	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	UCEC	0.231181287	0.001078716	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	UCEC	0.294180486	2.81E-05	0.037495973	2	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	UCEC	-0.036997014	0.604529586	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	UCEC	0.431552471	3.20E-10	4.26E-07	2	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	UCEC	-0.450881542	3.58E-11	4.77E-08	2	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	UCEC	0.030854936	0.665826556	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	UCS	-0.058724397	0.663553832	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	UCS	-0.035325382	0.793725486	1	NA	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	UCS	-0.001296344	0.992530332	1	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	UCS	-0.105133523	0.43533185	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	UCS	0.192053409	0.152055152	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	UCS	-0.136569873	0.310157	1	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	UCS	0.234897589	0.078718733	1	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
EGFR	UVM	-0.141701828	0.209465015	1	NA	RTK_RAS	EGFR	25.EGFR	31.EGFR
HRAS	UVM	-0.457548054	2.45E-05	0.032675919	2	RTK_RAS	HRAS	26.HRAS	32.HRAS
KRAS	UVM	0.437458978	5.89E-05	0.078559734	NA	RTK_RAS	KRAS	27.KRAS	33.KRAS
NF1	UVM	0.368870136	0.00082176	1	NA	RTK_RAS	NF1	28.NF1	34.NF1
NRAS	UVM	0.307032349	0.005781299	1	NA	RTK_RAS	NRAS	29.NRAS	35.NRAS
PDGFRA	UVM	-0.391258739	0.000332418	0.443112776	NA	RTK_RAS	PDGFRA	30.PDGFRA	36.PDGFRA
PTPN11	UVM	0.387482419	0.000423438	0.564443423	NA	RTK_RAS	PTPN11	31.PTPN11	37.PTPN11
SMAD2	ACC	0.150014542	0.189488441	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	ACC	0.253607152	0.025319214	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	ACC	0.027554724	0.810389688	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	ACC	0.286283337	0.011286494	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	ACC	-0.485805334	8.58E-06	0.011437282	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	BLCA	0.065193464	0.180728599	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	BLCA	-0.209383005	1.48E-05	0.01968558	2	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	BLCA	0.027778836	0.56885022	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	BLCA	-0.229533905	1.96E-06	0.002613847	2	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	BLCA	-0.429612165	0	0	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	BRCA	0.024413515	0.400510815	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	BRCA	-0.179338947	5.16E-10	6.88E-07	2	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	BRCA	-0.098926431	0.000638936	0.851702332	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	BRCA	-0.228783095	1.42E-15	1.90E-12	2	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	BRCA	-0.62885676	0	0	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	CESC	0.209657022	0.000227898	0.303787992	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	CESC	0.10466864	0.067476734	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	CESC	0.163749101	0.004115947	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	CESC	-0.102176264	0.074320395	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	CESC	-0.313723606	2.45E-08	3.26E-05	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	CHOL	0.442687747	0.002547289	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	CHOL	0.39657444	0.007367986	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	CHOL	-0.235573123	0.119157243	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	CHOL	0.152964427	0.314678584	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	CHOL	-0.445981555	0.002348629	1	NA	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	CRC	-0.317644136	4.04E-11	5.38E-08	2	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	CRC	-0.291783957	1.25E-09	1.67E-06	2	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	CRC	-0.351710884	1.88E-13	2.51E-10	2	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	CRC	-0.298580207	4.93E-10	6.57E-07	2	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	CRC	-0.436755288	0	0	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	DLBC	0.145245332	0.323551115	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	DLBC	-0.168041685	0.252731274	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	DLBC	0.062744247	0.670932763	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	DLBC	-0.135692575	0.356650662	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	DLBC	-0.040816327	0.782441011	1	NA	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	ESCA	0.064135863	0.375223241	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	ESCA	-0.056600876	0.433968958	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	ESCA	0.076282984	0.291416145	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	ESCA	-0.153724491	0.032806844	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	ESCA	-0.36933624	1.56E-07	0.000207306	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	GBM	-0.026455195	0.728705892	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	GBM	-0.009851083	0.897348761	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	GBM	0.412623366	2.09E-08	2.79E-05	2	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	GBM	-0.223795794	0.002992209	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	GBM	-0.389581708	1.37E-07	0.000183259	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	HNSC	0.218975416	1.79E-07	0.000237966	2	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	HNSC	0.084524914	0.04559583	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	HNSC	0.108258332	0.010357082	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	HNSC	-0.099781993	0.018181847	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	HNSC	-0.419262858	3.01E-25	4.01E-22	2	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	KICH	0.254511406	0.016305949	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	KICH	0.162121212	0.128896119	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
SMAD4	KICH	0.126557712	0.236800663	1	NA	TGFBeta	SMAD4	34.SMAD4	4.SMAD4
TGFBR1	KICH	-0.013806605	0.89767199	1	NA	TGFBeta	TGFBR1	35.TGFBR1	40.TGFBR1
TGFBR2	KICH	-0.404409261	9.71E-05	0.129477711	NA	TGFBeta	TGFBR2	36.TGFBR2	41.TGFBR2
SMAD2	KIRC	-0.130850082	0.001487254	1	NA	TGFBeta	SMAD2	32.SMAD2	38.SMAD2
SMAD3	KIRC	0.101946217	0.013468396	1	NA	TGFBeta	SMAD3	33.SMAD3	39.SMAD3
